Başlıklar,2024 3. çeyrek,2024 2. çeyrek,2024 1. çeyrek,2023 4. çeyrek
Dönen Varlıklar,338.882.000.000,312.030.000.000,275.598.000.000,343.785.081.522
Nakit ve Nakit Benzerleri,62.644.000.000,33.184.000.000,27.162.000.000,27.328.307.500
Finansal Yatırımlar,150.125.000.000,157.193.000.000,155.783.000.000,213.723.260.313
Ticari Alacaklar,39.556.000.000,38.302.000.000,31.971.000.000,34.225.936.990
Finans Sektörü Faaliyetlerinden Alacaklar,0,0,0,0
Diğer Alacaklar,46.006.000.000,37.886.000.000,26.982.000.000,35.589.974.809
Müşteri Sözleşmelerinden Doğan Varlıklar,0,0,0,0
Stoklar,15.598.000.000,16.390.000.000,14.655.000.000,16.725.766.524
Canlı Varlıklar,0,0,0,0
Diğer Dönen Varlıklar,24.953.000.000,29.075.000.000,19.045.000.000,16.191.835.386
(Ara Toplam),338.882.000.000,312.030.000.000,275.598.000.000,343.785.081.522
Satış Amacıyla Elde Tutulan Duran Varlıklar,0,0,0,0
Duran Varlıklar,1.014.787.000.000,921.813.000.000,890.378.000.000,1.082.872.127.096
Ticari Alacaklar,0,0,0,0
Finans Sektörü Faaliyetlerinden Alacaklar,0,0,0,0
Diğer Alacaklar,41.974.000.000,43.334.000.000,42.646.000.000,55.805.993.482
Müşteri Sözleşmelerinden Doğan Varlıklar,0,0,0,0
Finansal Yatırımlar,38.784.000.000,19.652.000.000,17.465.000.000,15.928.266.325
Özkaynak Yöntemiyle Değerlenen Yatırımlar,21.087.000.000,16.271.000.000,16.567.000.000,19.870.933.408
Canlı Varlıklar,0,0,0,0
Yatırım Amaçlı Gayrimenkuller,1.473.000.000,1.417.000.000,1.394.000.000,1.726.784.928
Stoklar,0,0,0,0
Kullanım Hakkı Varlıkları,595.355.000.000,558.306.000.000,550.639.000.000,677.005.662.963
Maddi Duran Varlıklar,237.219.000.000,214.770.000.000,201.126.000.000,242.984.860.459
Şerefiye,912.000.000,877.000.000,863.000.000,1.069.220.880
Maddi Olmayan Duran Varlıklar,3.619.000.000,3.188.000.000,2.930.000.000,3.473.948.908
Ertelenmiş Vergi Varlığı,17.213.000.000,13.058.000.000,11.166.000.000,13.264.045.047
Diğer Duran Varlıklar,57.151.000.000,50.940.000.000,45.582.000.000,51.742.410.696
TOPLAM VARLIKLAR,1.353.669.000.000,1.233.843.000.000,1.165.976.000.000,1.426.657.208.618
KAYNAKLAR,0,0,0,0
Kısa Vadeli Yükümlülükler,348.022.000.000,331.593.000.000,306.574.000.000,364.045.934.107
Finansal Borçlar,127.784.000.000,100.395.000.000,105.944.000.000,149.188.239.951
Diğer Finansal Yükümlülükler,1.000.000,0,0,0
Ticari Borçlar,48.012.000.000,49.644.000.000,43.909.000.000,51.708.445.611
Diğer Borçlar,12.983.000.000,7.574.000.000,6.247.000.000,9.701.786.918
Müşteri Söz. Doğan Yük.,0,0,0,0
Finans Sektörü Faaliyetlerinden Borçlar,0,0,0,0
Devlet Teşvik ve Yardımları,0,0,0,0
Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),115.079.000.000,137.043.000.000,117.440.000.000,108.383.945.272
Dönem Karı Vergi Yükümlülüğü,541.000.000,1.000.000,1.170.000.000,1.559.676.709
Borç Karşılıkları,4.071.000.000,3.278.000.000,3.002.000.000,2.228.109.585
